id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
isselda01,Dan Issel*,140,78,62,.557,126,71,55,.563,14,7,7,.500
wilkebo01,Bob Wilkerson,138,75,63,.543,124,68,56,.548,14,7,7,.500
thompda01,David Thompson,133,74,59,.556,119,67,52,.563,14,7,7,.500
roberan01,Anthony Roberts,122,69,53,.566,108,62,46,.574,14,7,7,.500
ellisbo02,Bo Ellis,97,53,44,.546,84,46,38,.548,13,7,6,.538
hugheki01,Kim Hughes,84,47,37,.560,81,46,35,.568,3,1,2,.333
scottch01,Charlie Scott,82,45,37,.549,79,44,35,.557,3,1,2,.333
bosweto01,Tom Boswell,82,48,34,.585,79,47,32,.595,3,1,2,.333
mcginge01,George McGinnis,76,44,32,.579,76,44,32,.579,0,0,0,
vanbrja01,Jan van Breda Kolff,59,25,34,.424,59,25,34,.424,0,0,0,
jordaed01,Eddie Jordan,59,25,34,.424,59,25,34,.424,0,0,0,
johnsge02,George Johnson,58,25,33,.431,58,25,33,.431,0,0,0,
newlimi01,Mike Newlin,58,24,34,.414,58,24,34,.414,0,0,0,
robincl01,Cliff Robinson,56,24,32,.429,56,24,32,.429,0,0,0,
lagarto01,Tom LaGarde,51,28,23,.549,43,24,19,.558,8,4,4,.500
jonesbo01,Bobby Jones,51,27,24,.529,40,21,19,.525,11,6,5,.545
calvima01,Mack Calvin,50,27,23,.540,40,22,18,.550,10,5,5,.500
boynewi01,Winford Boynes,48,22,26,.458,48,22,26,.458,0,0,0,
elliobo01,Bob Elliott,41,17,24,.415,41,17,24,.415,0,0,0,
kelleri01,Rich Kelley,39,17,22,.436,39,17,22,.436,0,0,0,
nattca01,Calvin Natt,36,16,20,.444,36,16,20,.444,0,0,0,
pheglro01,Roger Phegley,35,16,19,.457,29,13,16,.448,6,3,3,.500
kuestjo01,John Kuester,33,21,12,.636,33,21,12,.636,0,0,0,
simpsra01,Ralph Simpson*,33,17,16,.515,22,11,11,.500,11,6,5,.545
hillmda01,Darnell Hillman,32,17,15,.531,21,11,10,.524,11,6,5,.545
crompge01,Geoff Crompton,31,20,11,.645,31,20,11,.645,0,0,0,
johnsmi01,Mickey Johnson,23,13,10,.565,17,11,6,.647,6,2,4,.333
moncrsi01,Sidney Moncrief,23,13,10,.565,17,11,6,.647,6,2,4,.333
johnsma01,Marques Johnson,23,13,10,.565,17,11,6,.647,6,2,4,.333
cummipa01,Pat Cummings,23,13,10,.565,17,11,6,.647,6,2,4,.333
listeal01,Alton Lister,23,13,10,.565,17,11,6,.647,6,2,4,.333
priceji01,Jim Price,22,13,9,.591,22,13,9,.591,0,0,0,
catchha01,Harvey Catchings,22,12,10,.545,16,10,6,.625,6,2,4,.333
maysc01,Scott May,21,11,10,.524,17,11,6,.647,4,0,4,.000
hicksph01,Phil Hicks,20,10,10,.500,20,10,10,.500,0,0,0,
laniebo01,Bob Lanier,20,13,7,.650,14,11,3,.786,6,2,4,.333
taylobr01,Brian Taylor*,17,11,6,.647,17,11,6,.647,0,0,0,
lucasma01,Maurice Lucas,17,7,10,.412,17,7,10,.412,0,0,0,
wintebr01,Brian Winters,16,10,6,.625,10,8,2,.800,6,2,4,.333
mitchmi01,Mike Mitchell,14,8,6,.571,8,5,3,.625,6,3,3,.500
dunlemi01,Mike Dunleavy,13,8,5,.615,7,5,2,.714,6,3,3,.500
gilmoar01,Artis Gilmore*,13,8,5,.615,7,5,2,.714,6,3,3,.500
banksge01,Gene Banks,13,8,5,.615,7,5,2,.714,6,3,3,.500
jacksph01,Phil Jackson*,13,3,10,.231,13,3,10,.231,0,0,0,
gervige01,George Gervin,13,8,5,.615,7,5,2,.714,6,3,3,.500
poquebe01,Ben Poquette,13,1,12,.077,13,1,12,.077,0,0,0,
moorejo01,Johnny Moore,13,8,5,.615,7,5,2,.714,6,3,3,.500
willijo01,John Williamson*,13,5,8,.385,13,5,8,.385,0,0,0,
jonesed01,Edgar Jones,12,8,4,.667,6,5,1,.833,6,3,3,.500
sandemi01,Mike Sanders,11,7,4,.636,6,4,2,.667,5,3,2,.600
paultbi01,Billy Paultz*,9,5,4,.556,3,2,1,.667,6,3,3,.500
turpime01,Melvin Turpin,7,0,7,.000,7,0,7,.000,0,0,0,
hubbaph01,Phil Hubbard,7,0,7,.000,7,0,7,.000,0,0,0,
cookje01,Jeff Cook,7,0,7,.000,7,0,7,.000,0,0,0,
baglejo01,John Bagley,7,0,7,.000,7,0,7,.000,0,0,0,
davisjo01,Johnny Davis,7,0,7,.000,7,0,7,.000,0,0,0,
kingbe01,Bernard King,6,1,5,.167,6,1,5,.167,0,0,0,
maravpe01,Pete Maravich,6,1,5,.167,6,1,5,.167,0,0,0,
dorseja01,Jacky Dorsey,6,2,4,.333,6,2,4,.333,0,0,0,
willidu01,Duck Williams,6,1,5,.167,6,1,5,.167,0,0,0,
freewo01,World B. Free,6,0,6,.000,6,0,6,.000,0,0,0,
bristal01,Allan Bristow,6,1,5,.167,6,1,5,.167,0,0,0,
dawkipa01,Paul Dawkins,6,1,5,.167,6,1,5,.167,0,0,0,
smithra01,Randy Smith,6,0,6,.000,6,0,6,.000,0,0,0,
gianejo01,John Gianelli,6,1,5,.167,6,1,5,.167,0,0,0,
bucknqu01,Quinn Buckner,5,3,2,.600,5,3,2,.600,0,0,0,
chambto01,Tom Chambers,5,0,5,.000,5,0,5,.000,0,0,0,
woodal01,Al Wood,5,0,5,.000,5,0,5,.000,0,0,0,
robinol01,Oliver Robinson,5,4,1,.800,5,4,1,.800,0,0,0,
anderro01,Ron Anderson,5,0,5,.000,5,0,5,.000,0,0,0,
whiteje01,Jerome Whitehead,5,0,5,.000,5,0,5,.000,0,0,0,
hollili01,Lionel Hollins,5,0,5,.000,5,0,5,.000,0,0,0,
brookmi01,Michael Brooks,5,0,5,.000,5,0,5,.000,0,0,0,
dantlad01,Adrian Dantley,5,1,4,.200,5,1,4,.200,0,0,0,
anderri01,Richard Anderson,5,0,5,.000,5,0,5,.000,0,0,0,
hodgecr01,Craig Hodges,5,0,5,.000,5,0,5,.000,0,0,0,
hardyja01,James Hardy,5,0,5,.000,5,0,5,.000,0,0,0,
brogaji01,Jim Brogan,4,0,4,.000,4,0,4,.000,0,0,0,
deanegr01,Greg Deane,4,0,4,.000,4,0,4,.000,0,0,0,
hinsoro01,Roy Hinson,4,0,4,.000,4,0,4,.000,0,0,0,
russeca02,Campy Russell,3,0,3,.000,3,0,3,.000,0,0,0,
rainsed01,Ed Rains,3,2,1,.667,0,0,0,,3,2,1,.667
cummite01,Terry Cummings,2,0,2,.000,2,0,2,.000,0,0,0,
thomppa01,Paul Thompson,2,0,2,.000,2,0,2,.000,0,0,0,
dougljo01,John Douglas,2,0,2,.000,2,0,2,.000,0,0,0,
hollabr01,Brad Holland,2,0,2,.000,1,0,1,.000,1,0,1,.000
hustoge01,Geoff Huston,2,0,2,.000,2,0,2,.000,0,0,0,
cookno01,Norm Cook,2,0,2,.000,2,0,2,.000,0,0,0,
kinchch01,Chad Kinch,1,0,1,.000,1,0,1,.000,0,0,0,
wilsomi01,Michael Wilson,1,0,1,.000,1,0,1,.000,0,0,0,
forddo01,Don Ford,1,0,1,.000,1,0,1,.000,0,0,0,
laimbbi01,Bill Laimbeer,1,0,1,.000,1,0,1,.000,0,0,0,
robinbi01,Bill Robinzine,1,0,1,.000,1,0,1,.000,0,0,0,
jordawa01,Walter Jordan,1,0,1,.000,1,0,1,.000,0,0,0,
carrke01,Kenny Carr,1,0,1,.000,1,0,1,.000,0,0,0,
robisda01,Dave Robisch*,1,0,1,.000,1,0,1,.000,0,0,0,
