id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
gasolpa01,Pau Gasol,62,15,47,.242,62,15,47,.242,0,0,0,
battish01,Shane Battier,59,15,44,.254,59,15,44,.254,0,0,0,
masseto01,Tony Massenburg,55,11,44,.200,55,11,44,.200,0,0,0,
swiftst01,Stromile Swift,51,12,39,.235,51,12,39,.235,0,0,0,
longgr01,Grant Long,47,10,37,.213,47,10,37,.213,0,0,0,
buforro01,Rodney Buford,46,13,33,.283,46,13,33,.283,0,0,0,
willija02,Jason Williams,45,13,32,.289,45,13,32,.289,0,0,0,
bargnan01,Andrea Bargnani,39,13,26,.333,39,13,26,.333,0,0,0,
boshch01,Chris Bosh,39,13,26,.333,39,13,26,.333,0,0,0,
knighbr01,Brevin Knight,38,10,28,.263,38,10,28,.263,0,0,0,
moonja01,Jamario Moon,38,12,26,.316,38,12,26,.316,0,0,0,
parkean01,Anthony Parker,37,11,26,.297,37,11,26,.297,0,0,0,
kaponja01,Jason Kapono,37,13,24,.351,37,13,24,.351,0,0,0,
grahajo01,Joey Graham,36,11,25,.306,36,11,25,.306,0,0,0,
wrighlo02,Lorenzen Wright,34,8,26,.235,34,8,26,.235,0,0,0,
ukicro01,Roko Ukić,30,11,19,.367,30,11,19,.367,0,0,0,
caldejo01,José Calderón,28,9,19,.321,28,9,19,.321,0,0,0,
onealje01,Jermaine O'Neal,27,8,19,.296,27,8,19,.296,0,0,0,
fotsian01,Antonis Fotsis,26,6,20,.231,26,6,20,.231,0,0,0,
humphkr01,Kris Humphries,25,9,16,.360,25,9,16,.360,0,0,0,
gilled01,Eddie Gill,19,4,15,.211,19,4,15,.211,0,0,0,
austiis01,Isaac Austin,17,3,14,.176,17,3,14,.176,0,0,0,
voskuja01,Jake Voskuhl,15,6,9,.400,15,6,9,.400,0,0,0,
thompja02,Jason Thompson,14,3,11,.214,14,3,11,.214,0,0,0,
hawessp01,Spencer Hawes,14,3,11,.214,14,3,11,.214,0,0,0,
garcifr01,Francisco García,14,3,11,.214,14,3,11,.214,0,0,0,
greendo01,Donté Greene,13,3,10,.231,13,3,10,.231,0,0,0,
mccanra01,Rashad McCants,12,2,10,.167,12,2,10,.167,0,0,0,
adamsha01,Hassan Adams,12,4,8,.333,12,4,8,.333,0,0,0,
martike02,Kevin Martin,12,3,9,.250,12,3,9,.250,0,0,0,
anderni01,Nick Anderson,11,3,8,.273,11,3,8,.273,0,0,0,
nocioan01,Andrés Nocioni,11,2,9,.182,11,2,9,.182,0,0,0,
jacksbo01,Bobby Jackson,9,2,7,.222,9,2,7,.222,0,0,0,
udrihbe01,Beno Udrih,8,1,7,.125,8,1,7,.125,0,0,0,
boothca01,Calvin Booth,5,1,4,.200,5,1,4,.200,0,0,0,
dioguik01,Ike Diogu,4,2,2,.500,4,2,2,.500,0,0,0,
jawaina01,Nathan Jawai,3,1,2,.333,3,1,2,.333,0,0,0,
simmoce01,Cedric Simmons,3,1,2,.333,3,1,2,.333,0,0,0,
dickemi01,Michael Dickerson,2,0,2,.000,2,0,2,.000,0,0,0,
fontais01,Isaac Fontaine,2,0,2,.000,2,0,2,.000,0,0,0,
perryel01,Elliot Perry,2,0,2,.000,2,0,2,.000,0,0,0,
goodedr01,Drew Gooden,1,0,1,.000,1,0,1,.000,0,0,0,
