id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
jacksme01,Merv Jackson,222,121,101,.545,187,99,88,.529,35,22,13,.629
wisewi01,Willie Wise,195,116,79,.595,166,98,68,.590,29,18,11,.621
warrebo01,Bob Warren,161,74,87,.460,144,64,80,.444,17,10,7,.588
daviswa02,Warren Davis*,134,58,76,.433,134,58,76,.433,0,0,0,
millela01,Larry Miller,110,47,63,.427,110,47,63,.427,0,0,0,
robbire01,Red Robbins*,104,70,34,.673,86,58,28,.674,18,12,6,.667
calvima01,Mack Calvin,100,52,48,.520,83,42,41,.506,17,10,7,.588
beatyze01,Zelmo Beaty,97,66,31,.680,79,54,25,.684,18,12,6,.667
butlemi01,Mike Butler*,77,54,23,.701,67,49,18,.731,10,5,5,.500
combsgl01,Glen Combs,71,47,24,.662,53,35,18,.660,18,12,6,.667
boonero01,Ron Boone*,70,46,24,.657,52,34,18,.654,18,12,6,.667
anderan01,Andy Anderson*,65,36,29,.554,49,26,23,.531,16,10,6,.625
raymocr01,Craig Raymond,63,36,27,.571,46,26,20,.565,17,10,7,.588
hightwa01,Wayne Hightower*,57,34,23,.596,57,34,23,.596,0,0,0,
johnsed01,Ed Johnson,57,25,32,.439,57,25,32,.439,0,0,0,
lehmage01,George Lehmann*,56,22,34,.393,56,22,34,.393,0,0,0,
greyde01,Dennis Grey,54,19,35,.352,54,19,35,.352,0,0,0,
washitr01,Trooper Washington*,54,30,24,.556,37,20,17,.541,17,10,7,.588
jarviji01,Jim Jarvis*,49,20,29,.408,49,20,29,.408,0,0,0,
nemeldi01,Dick Nemelka*,42,28,14,.667,33,22,11,.667,9,6,3,.667
laceyed01,Edgar Lacey,42,14,28,.333,42,14,28,.333,0,0,0,
workmto01,Tom Workman*,42,24,18,.571,39,23,16,.590,3,1,2,.333
mcdonro01,Rod McDonald*,36,28,8,.778,31,24,7,.774,5,4,1,.800
congdje01,Jeff Congdon*,32,23,9,.719,32,23,9,.719,0,0,0,
warlebe01,Ben Warley*,32,11,21,.344,32,11,21,.344,0,0,0,
warlibo01,Bob Warlick*,28,15,13,.536,28,15,13,.536,0,0,0,
mcgilbi01,Bill McGill,27,12,15,.444,27,12,15,.444,0,0,0,
freemdo01,Donnie Freeman*,20,16,4,.800,20,16,4,.800,0,0,0,
ivoryel01,Elvin Ivory,19,6,13,.316,19,6,13,.316,0,0,0,
mcdanji01,Jim McDaniels,15,6,9,.400,15,6,9,.400,0,0,0,
dentora01,Randy Denton,15,6,9,.400,15,6,9,.400,0,0,0,
mannied01,Ed Manning*,14,6,8,.429,14,6,8,.429,0,0,0,
mcclate01,Ted McClain*,14,5,9,.357,14,5,9,.357,0,0,0,
chubist01,Steve Chubin,14,5,9,.357,14,5,9,.357,0,0,0,
milleja01,Jay Miller*,10,4,6,.400,10,4,6,.400,0,0,0,
smithsa01,Sam Smith*,10,8,2,.800,7,5,2,.714,3,3,0,1.000
peterme01,Mel Peterson*,8,4,4,.500,4,1,3,.250,4,3,1,.750
littlge01,Gene Littles,7,2,5,.286,7,2,5,.286,0,0,0,
jonesji01,Jimmy Jones,7,3,4,.429,7,3,4,.429,0,0,0,
hillsi01,Simmie Hill,6,3,3,.500,6,3,3,.500,0,0,0,
caldwjo01,Joe Caldwell,5,1,4,.200,5,1,4,.200,0,0,0,
johnsst01,Stew Johnson*,5,0,5,.000,5,0,5,.000,0,0,0,
fieldbo01,Bobby Fields,4,4,0,1.000,4,4,0,1.000,0,0,0,
selvale01,Les Selvage*,4,1,3,.250,3,1,2,.333,1,0,1,.000
fisheri01,Rick Fisher,3,3,0,1.000,3,3,0,1.000,0,0,0,
vergabo01,Bob Verga,2,2,0,1.000,2,2,0,1.000,0,0,0,
leaksma01,Manny Leaks*,1,0,1,.000,1,0,1,.000,0,0,0,
beasljo01,John Beasley*,1,0,1,.000,1,0,1,.000,0,0,0,
brunkbr01,Brian Brunkhorst,1,0,1,.000,1,0,1,.000,0,0,0,
