id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
wallara01,Rasheed Wallace,439,267,172,.608,393,246,147,.626,46,21,25,.457
wellsbo01,Bonzi Wells,303,186,117,.614,279,174,105,.624,24,12,12,.500
davisda01,Dale Davis,295,161,134,.546,284,158,126,.556,11,3,8,.273
sabonar01,Arvydas Sabonis,287,180,107,.627,245,160,85,.653,42,20,22,.476
patteru01,Ruben Patterson,278,137,141,.493,268,134,134,.500,10,3,7,.300
pippesc01,Scottie Pippen,268,166,102,.619,242,154,88,.636,26,12,14,.462
randoza01,Zach Randolph,225,112,113,.498,217,109,108,.502,8,3,5,.375
anderde01,Derek Anderson,221,114,107,.516,216,114,102,.528,5,0,5,.000
anthogr01,Greg Anthony,216,145,71,.671,186,129,57,.694,30,16,14,.533
augmost01,Stacey Augmon,215,141,74,.656,189,128,61,.677,26,13,13,.500
williwa02,Walt Williams,187,88,99,.471,170,80,90,.471,17,8,9,.471
smithst01,Steve Smith,178,116,62,.652,159,106,53,.667,19,10,9,.526
grantbr01,Brian Grant,163,110,53,.675,130,92,38,.708,33,18,15,.545
chrisdo01,Doug Christie,146,44,102,.301,146,44,102,.301,0,0,0,
kempsh01,Shawn Kemp,139,82,57,.590,136,82,54,.603,3,0,3,.000
onealje01,Jermaine O'Neal,138,95,43,.688,120,87,33,.725,18,8,10,.444
rogerca01,Carlos Rogers,131,41,90,.313,131,41,90,.313,0,0,0,
milleol01,Oliver Miller,121,34,87,.281,121,34,87,.281,0,0,0,
schrede01,Detlef Schrempf,117,77,40,.658,99,67,32,.677,18,10,8,.556
tabakza01,Žan Tabak,117,34,83,.291,117,34,83,.291,0,0,0,
millemi01,Mike Miller,116,38,78,.328,116,38,78,.328,0,0,0,
woodsqy01,Qyntel Woods,109,58,51,.532,105,56,49,.533,4,2,2,.500
warriha01,Hakim Warrick,108,37,71,.343,108,37,71,.343,0,0,0,
milesda01,Darius Miles,104,48,56,.462,104,48,56,.462,0,0,0,
cambyma01,Marcus Camby,99,35,64,.354,99,35,64,.354,0,0,0,
mcinnje01,Jeff McInnis,98,49,49,.500,91,46,45,.505,7,3,4,.429
gasolpa01,Pau Gasol,95,34,61,.358,95,34,61,.358,0,0,0,
ratlith01,Theo Ratliff,94,38,56,.404,94,38,56,.404,0,0,0,
jonespo01,Popeye Jones,92,31,61,.337,92,31,61,.337,0,0,0,
gayru01,Rudy Gay*,91,23,68,.253,91,23,68,.253,0,0,0,
abdursh01,Shareef Abdur-Rahim,85,33,52,.388,85,33,52,.388,0,0,0,
rideris01,Isaiah Rider,84,52,32,.619,67,44,23,.657,17,8,9,.471
jonesda02,Dahntay Jones,82,28,54,.341,82,28,54,.341,0,0,0,
murratr01,Tracy Murray,77,23,54,.299,77,23,54,.299,0,0,0,
catoke01,Kelvin Cato,75,45,30,.600,63,41,22,.651,12,4,8,.333
przybjo01,Joel Przybilla,75,23,52,.307,75,23,52,.307,0,0,0,
slatere01,Reggie Slater,71,18,53,.254,71,18,53,.254,0,0,0,
wrighsh01,Sharone Wright,69,25,44,.362,69,25,44,.362,0,0,0,
earlac01,Acie Earl,68,19,49,.279,68,19,49,.279,0,0,0,
telfase01,Sebastian Telfair,67,18,49,.269,67,18,49,.269,0,0,0,
outlatr01,Travis Outlaw,66,17,49,.258,66,17,49,.258,0,0,0,
brunsri01,Rick Brunson,65,36,29,.554,63,36,27,.571,2,0,2,.000
roberal01,Alvin Robertson,65,18,47,.277,65,18,47,.277,0,0,0,
respesh01,Shawn Respert,63,15,48,.238,63,15,48,.238,0,0,0,
swiftst01,Stromile Swift,62,16,46,.258,62,16,46,.258,0,0,0,
jacksji01,Jim Jackson,62,41,21,.661,49,34,15,.694,13,7,6,.538
roberla01,Lawrence Roberts,61,21,40,.344,61,21,40,.344,0,0,0,
kerrst01,Steve Kerr,61,28,33,.459,58,28,30,.483,3,0,3,.000
atkinch01,Chucky Atkins,56,14,42,.250,56,14,42,.250,0,0,0,
daniean01,Antonio Daniels,54,27,27,.500,48,24,24,.500,6,3,3,.500
vanexni01,Nick Van Exel,53,20,33,.377,53,20,33,.377,0,0,0,
jonesed02,Eddie Jones,53,22,31,.415,53,22,31,.415,0,0,0,
kingji02,Jimmy King,50,12,38,.240,50,12,38,.240,0,0,0,
wallajo01,John Wallace,49,11,38,.224,49,11,38,.224,0,0,0,
anderwi01,Willie Anderson,49,14,35,.286,49,14,35,.286,0,0,0,
dudlech02,Chris Dudley,47,28,19,.596,45,28,17,.622,2,0,2,.000
pincked01,Ed Pinckney,47,12,35,.255,47,12,35,.255,0,0,0,
kinseta01,Tarence Kinsey,43,11,32,.256,43,11,32,.256,0,0,0,
frahmri01,Richie Frahm,42,8,34,.190,42,8,34,.190,0,0,0,
johnsal01,Alexander Johnson,42,9,33,.214,42,9,33,.214,0,0,0,
stepavl01,Vladimir Stepania,42,17,25,.405,42,17,25,.405,0,0,0,
roziecl01,Clifford Rozier,41,15,26,.366,41,15,26,.366,0,0,0,
lowryky01,Kyle Lowry*,39,10,29,.256,39,10,29,.256,0,0,0,
vaughja01,Jacque Vaughn,38,25,13,.658,31,23,8,.742,7,2,5,.286
finlemi01,Michael Finley,38,25,13,.658,31,23,8,.742,7,2,5,.286
duncati01,Tim Duncan,38,25,13,.658,31,23,8,.742,7,2,5,.286
obertfa01,Fabricio Oberto,38,25,13,.658,31,23,8,.742,7,2,5,.286
bowenbr01,Bruce Bowen,37,25,12,.676,30,23,7,.767,7,2,5,.286
boumtru01,Ruben Boumtje-Boumtje,37,17,20,.459,37,17,20,.459,0,0,0,
udokaim01,Ime Udoka,36,25,11,.694,29,23,6,.793,7,2,5,.286
cardibr01,Brian Cardinal,36,8,28,.222,36,8,28,.222,0,0,0,
ginobma01,Manu Ginóbili,36,24,12,.667,29,22,7,.759,7,2,5,.286
davishu01,Hubert Davis,35,10,25,.286,35,10,25,.286,0,0,0,
tsakaja01,Jake Tsakalidis,35,13,22,.371,35,13,22,.371,0,0,0,
persowe01,Wesley Person,33,15,18,.455,33,15,18,.455,0,0,0,
harvean01,Antonio Harvey,33,20,13,.606,31,20,11,.645,2,0,2,.000
mcgratr01,Tracy McGrady,32,8,24,.250,32,8,24,.250,0,0,0,
longjo01,John Long,32,12,20,.375,32,12,20,.375,0,0,0,
khryavi01,Viktor Khryapa,31,5,26,.161,31,5,26,.161,0,0,0,
parketo01,Tony Parker,31,19,12,.613,24,17,7,.708,7,2,5,.286
thomaku01,Kurt Thomas,29,17,12,.586,22,15,7,.682,7,2,5,.286
navarju01,Juan Carlos Navarro,29,8,21,.276,29,8,21,.276,0,0,0,
grantga01,Gary Grant,28,19,9,.679,22,16,6,.727,6,3,3,.500
whitedo01,Donald Whiteside,26,7,19,.269,26,7,19,.269,0,0,0,
battish01,Shane Battier,26,17,9,.654,26,17,9,.654,0,0,0,
horryro01,Robert Horry,26,16,10,.615,19,14,5,.737,7,2,5,.286
jacobca01,Casey Jacobsen,26,8,18,.308,26,8,18,.308,0,0,0,
wrighlo02,Lorenzen Wright,26,16,10,.615,26,16,10,.615,0,0,0,
garnech01,Chris Garner,25,6,19,.240,25,6,19,.240,0,0,0,
sallejo01,John Salley,25,7,18,.280,25,7,18,.280,0,0,0,
masseto01,Tony Massenburg,24,6,18,.250,24,6,18,.250,0,0,0,
bonnema01,Matt Bonner,23,17,6,.739,23,17,6,.739,0,0,0,
stricro02,Rod Strickland,23,8,15,.348,21,8,13,.381,2,0,2,.000
gilled01,Eddie Gill,22,12,10,.545,22,12,10,.545,0,0,0,
milicda01,Darko Miličić,21,5,16,.238,21,5,16,.238,0,0,0,
burksan01,Antonio Burks,21,12,9,.571,21,12,9,.571,0,0,0,
dickada01,Dan Dickau,20,9,11,.450,20,9,11,.450,0,0,0,
esposvi01,Vincenzo Esposito,20,4,16,.200,20,4,16,.200,0,0,0,
barkler01,Erick Barkley,20,13,7,.650,20,13,7,.650,0,0,0,
jacksbo01,Bobby Jackson,19,13,6,.684,19,13,6,.684,0,0,0,
seungha01,Ha Seung-Jin,18,3,15,.167,18,3,15,.167,0,0,0,
cookom01,Omar Cook,17,12,5,.706,17,12,5,.706,0,0,0,
brownan01,Andre Brown,17,4,13,.235,17,4,13,.235,0,0,0,
perduwi01,Will Perdue,16,10,6,.625,13,10,3,.769,3,0,3,.000
lewisma01,Martin Lewis,16,5,11,.312,16,5,11,.312,0,0,0,
harriju01,Junior Harrington,14,2,12,.143,14,2,12,.143,0,0,0,
carroma01,Matt Carroll,13,4,9,.308,13,4,9,.308,0,0,0,
butlemi02,Mitchell Butler,11,6,5,.545,11,6,5,.545,0,0,0,
curetea01,Earl Cureton,9,1,8,.111,9,1,8,.111,0,0,0,
thomaja02,James Thomas,9,2,7,.222,9,2,7,.222,0,0,0,
crottjo01,John Crotty,9,7,2,.778,9,7,2,.778,0,0,0,
barrybr01,Brent Barry,8,3,5,.375,1,1,0,1.000,7,2,5,.286
fergude01,Desmond Ferguson,7,2,5,.286,7,2,5,.286,0,0,0,
kleinjo01,Joe Kleine,7,6,1,.857,7,6,1,.857,0,0,0,
daniell01,Lloyd Daniels,6,3,3,.500,6,3,3,.500,0,0,0,
carlige01,Geno Carlisle,6,2,4,.333,6,2,4,.333,0,0,0,
conlemi01,Mike Conley*,6,1,5,.167,6,1,5,.167,0,0,0,
kemptti01,Tim Kempton,5,0,5,.000,5,0,5,.000,0,0,0,
whitfdw01,Dwayne Whitfield,5,2,3,.400,5,2,3,.400,0,0,0,
lohaubr01,Brad Lohaus,5,1,4,.200,5,1,4,.200,0,0,0,
elsonfr01,Francisco Elson,5,5,0,1.000,5,5,0,1.000,0,0,0,
roberan02,Anthony Roberson,5,4,1,.800,5,4,1,.800,0,0,0,
listeal01,Alton Lister,5,2,3,.400,3,2,1,.667,2,0,2,.000
padgesc01,Scott Padgett,5,0,5,.000,5,0,5,.000,0,0,0,
stokeed01,Ed Stokes,4,0,4,.000,4,0,4,.000,0,0,0,
askewvi01,Vincent Askew,4,1,3,.250,4,1,3,.250,0,0,0,
oliveji01,Jimmy Oliver,4,2,2,.500,4,2,2,.500,0,0,0,
benjabe01,Benoit Benjamin,4,2,2,.500,4,2,2,.500,0,0,0,
bakerma01,Maurice Baker,3,0,3,.000,3,0,3,.000,0,0,0,
conrowi01,Will Conroy,3,0,3,.000,3,0,3,.000,0,0,0,
dickeka01,Kaniel Dickens,3,2,1,.667,3,2,1,.667,0,0,0,
smithch04,Charles Smith,3,2,1,.667,3,2,1,.667,0,0,0,
jonesbo02,Bobby Jones,2,1,1,.500,2,1,1,.500,0,0,0,
richaje01,Jeremy Richardson,2,0,2,.000,2,0,2,.000,0,0,0,
thomajo02,John Thomas,2,1,1,.500,2,1,1,.500,0,0,0,
johnsde03,DerMarr Johnson,2,1,1,.500,2,1,1,.500,0,0,0,
mccanbo01,Bob McCann,1,0,1,.000,1,0,1,.000,0,0,0,
willihe01,Herb Williams,1,0,1,.000,1,0,1,.000,0,0,0,
shawbr01,Brian Shaw,1,1,0,1.000,1,1,0,1.000,0,0,0,
vranesl01,Slavko Vraneš,1,0,1,.000,1,0,1,.000,0,0,0,
