id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
johnsed03,Eddie Johnson,46,14,32,.304,46,14,32,.304,0,0,0,
olberma01,Mark Olberding,45,14,31,.311,45,14,31,.311,0,0,0,
thompla01,LaSalle Thompson,44,13,31,.295,44,13,31,.295,0,0,0,
drewla01,Larry Drew,43,13,30,.302,43,13,30,.302,0,0,0,
meriwjo01,Joe Meriweather*,43,12,31,.279,43,12,31,.279,0,0,0,
knighbi01,Billy Knight,40,13,27,.325,40,13,27,.325,0,0,0,
busedo01,Don Buse,40,11,29,.275,40,11,29,.275,0,0,0,
woodsmi01,Mike Woodson,37,11,26,.297,37,11,26,.297,0,0,0,
nealyed01,Ed Nealy,36,13,23,.361,36,13,23,.361,0,0,0,
johnsst03,Steve Johnson,33,10,23,.303,33,10,23,.303,0,0,0,
michela01,Larry Micheaux,22,9,13,.409,22,9,13,.409,0,0,0,
theusre01,Reggie Theus,11,2,9,.182,11,2,9,.182,0,0,0,
loderke01,Kevin Loder,8,3,5,.375,8,3,5,.375,0,0,0,
thorpot01,Otis Thorpe,6,0,6,.000,6,0,6,.000,0,0,0,
verhope01,Pete Verhoeven,5,0,5,.000,5,0,5,.000,0,0,0,
robisda01,Dave Robisch*,2,1,1,.500,2,1,1,.500,0,0,0,
