id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
scolalu01,Luis Scola,39,16,23,.410,39,16,23,.410,0,0,0,
hayesch01,Chuck Hayes,39,16,23,.410,39,16,23,.410,0,0,0,
budinch01,Chase Budinger,33,14,19,.424,33,14,19,.424,0,0,0,
lowryky01,Kyle Lowry*,32,12,20,.375,32,12,20,.375,0,0,0,
brookaa01,Aaron Brooks,31,13,18,.419,31,13,18,.419,0,0,0,
battish01,Shane Battier,28,12,16,.429,28,12,16,.429,0,0,0,
landrca01,Carl Landry,27,9,18,.333,27,9,18,.333,0,0,0,
jetereu01,Eugene Jeter,26,5,21,.192,26,5,21,.192,0,0,0,
couside01,DeMarcus Cousins,26,5,21,.192,26,5,21,.192,0,0,0,
dalemsa01,Samuel Dalembert,26,5,21,.192,26,5,21,.192,0,0,0,
casspom01,Omri Casspi,25,5,20,.200,25,5,20,.200,0,0,0,
thompja02,Jason Thompson,25,5,20,.200,25,5,20,.200,0,0,0,
arizatr01,Trevor Ariza,25,10,15,.400,25,10,15,.400,0,0,0,
udrihbe01,Beno Udrih,23,5,18,.217,23,5,18,.217,0,0,0,
jacksda01,Darnell Jackson,22,4,18,.182,22,4,18,.182,0,0,0,
greendo01,Donté Greene,22,5,17,.227,22,5,17,.227,0,0,0,
hilljo01,Jordan Hill,20,9,11,.450,20,9,11,.450,0,0,0,
anderda03,David Andersen,19,8,11,.421,19,8,11,.421,0,0,0,
martike02,Kevin Martin,17,7,10,.412,17,7,10,.412,0,0,0,
garcifr01,Francisco García,16,2,14,.125,16,2,14,.125,0,0,0,
jeffrja01,Jared Jeffries,14,7,7,.500,14,7,7,.500,0,0,0,
thornma01,Marcus Thornton,14,2,12,.143,14,2,12,.143,0,0,0,
cookbr01,Brian Cook,13,5,8,.385,13,5,8,.385,0,0,0,
headlu01,Luther Head,10,1,9,.100,10,1,9,.100,0,0,0,
armsthi01,Hilton Armstrong,9,4,5,.444,9,4,5,.444,0,0,0,
leeco01,Courtney Lee,8,3,5,.375,8,3,5,.375,0,0,0,
harrimi01,Mike Harris,8,2,6,.250,8,2,6,.250,0,0,0,
millebr01,Brad Miller,8,3,5,.375,8,3,5,.375,0,0,0,
smithis01,Ish Smith*,6,2,4,.333,6,2,4,.333,0,0,0,
evansty01,Tyreke Evans,6,2,4,.333,6,2,4,.333,0,0,0,
dorsejo01,Joey Dorsey,5,2,3,.400,5,2,3,.400,0,0,0,
templga01,Garrett Temple,5,2,3,.400,5,2,3,.400,0,0,0,
mcgratr01,Tracy McGrady,3,1,2,.333,3,1,2,.333,0,0,0,
mensapo01,Pops Mensah-Bonsu,3,2,1,.667,3,2,1,.667,0,0,0,
conrowi01,Will Conroy,1,1,0,1.000,1,1,0,1.000,0,0,0,
mingya01,Yao Ming,1,1,0,1.000,1,1,0,1.000,0,0,0,
