id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
murphca01,Calvin Murphy,778,375,403,.482,741,361,380,.487,37,14,23,.378
newlimi01,Mike Newlin,584,278,306,.476,562,269,293,.479,22,9,13,.409
malonmo01,Moses Malone,317,165,152,.521,288,154,134,.535,29,11,18,.379
kunneke01,Kevin Kunnert,299,154,145,.515,279,145,134,.520,20,9,11,.450
meelycl01,Cliff Meely,290,122,168,.421,290,122,168,.421,0,0,0,
ratleed01,Ed Ratleff,289,133,156,.460,281,130,151,.463,8,3,5,.375
reidro01,Robert Reid,220,110,110,.500,203,105,98,.517,17,5,12,.294
jonesdw01,Dwight Jones,198,110,88,.556,184,104,80,.565,14,6,8,.429
abdulza01,Zaid Abdul-Aziz,195,81,114,.415,189,79,110,.418,6,2,4,.333
rileyro01,Ron Riley,181,91,90,.503,173,88,85,.509,8,3,5,.375
wohlda01,Dave Wohl,167,84,83,.503,163,81,82,.497,4,3,1,.750
dunlemi01,Mike Dunleavy,162,82,80,.506,147,77,70,.524,15,5,10,.333
johnsjo01,John Johnson,155,82,73,.529,143,76,67,.531,12,6,6,.500
hayesel01,Elvin Hayes,155,71,84,.458,155,71,84,.458,0,0,0,
lantzst01,Stu Lantz*,154,70,84,.455,154,70,84,.455,0,0,0,
barryri01,Rick Barry,132,71,61,.538,124,70,54,.565,8,1,7,.125
marinja01,Jack Marin,125,48,77,.384,125,48,77,.384,0,0,0,
leaveal01,Allen Leavell,123,59,64,.480,111,55,56,.495,12,4,8,.333
jonesma01,Major Jones,119,59,60,.496,107,54,53,.505,12,5,7,.417
lucasjo01,John Lucas,116,64,52,.552,104,58,46,.558,12,6,6,.500
hendeto01,Tom Henderson,115,53,62,.461,100,48,52,.480,15,5,10,.333
paultbi01,Billy Paultz*,101,45,56,.446,86,40,46,.465,15,5,10,.333
mooreot01,Otto Moore,93,36,57,.387,93,36,57,.387,0,0,0,
whiteru01,Rudy White,83,39,44,.470,82,38,44,.463,1,1,0,1.000
walkeji01,Jimmy Walker,83,32,51,.386,83,32,51,.386,0,0,0,
bailegu01,Gus Bailey,83,48,35,.578,75,45,30,.600,8,3,5,.375
adamsdo01,Don Adams,80,39,41,.487,80,39,41,.487,0,0,0,
meriwjo01,Joe Meriweather*,78,38,40,.487,78,38,40,.487,0,0,0,
trappjo01,John Trapp,77,38,39,.494,77,38,39,.494,0,0,0,
kimbato01,Toby Kimball,75,36,39,.480,75,36,39,.480,0,0,0,
hawesst01,Steve Hawes,68,38,30,.559,60,35,25,.583,8,3,5,.375
blockjo01,John Block,68,31,37,.456,68,31,37,.456,0,0,0,
eganjo01,Johnny Egan*,67,30,37,.448,67,30,37,.448,0,0,0,
siegfla01,Larry Siegfried,61,29,32,.475,61,29,32,.475,0,0,0,
gibbsdi01,Dick Gibbs,61,27,34,.443,61,27,34,.443,0,0,0,
colemec01,E.C. Coleman,60,27,33,.450,60,27,33,.450,0,0,0,
cunnidi01,Dick Cunningham*,59,21,38,.356,59,21,38,.356,0,0,0,
smithgr01,Greg Smith,57,30,27,.526,57,30,27,.526,0,0,0,
wattssl01,Slick Watts,57,30,27,.526,55,30,25,.545,2,0,2,.000
willibe01,Bernie Williams,52,23,29,.442,52,23,29,.442,0,0,0,
owensto01,Tom Owens*,49,25,24,.510,46,24,22,.522,3,1,2,.333
bradlal01,Alonzo Bradley,49,27,22,.551,44,26,18,.591,5,1,4,.200
garreca01,Calvin Garrett,48,20,28,.417,41,17,24,.415,7,3,4,.429
johnsge01,George Johnson,45,22,23,.489,45,22,23,.489,0,0,0,
mcwiler01,Eric McWilliams,44,17,27,.386,44,17,27,.386,0,0,0,
perrycu01,Curtis Perry,38,14,24,.368,38,14,24,.368,0,0,0,
guokama02,Matt Guokas,38,10,28,.263,38,10,28,.263,0,0,0,
vallejo01,John Vallely*,37,20,17,.541,37,20,17,.541,0,0,0,
kennego01,Goo Kennedy*,37,21,16,.568,31,19,12,.613,6,2,4,.333
wellsow01,Owen Wells,37,25,12,.676,33,22,11,.667,4,3,1,.750
mckenst01,Stan McKenzie,35,14,21,.400,35,14,21,.400,0,0,0,
willobi01,Bill Willoughby*,34,14,20,.412,27,11,16,.407,7,3,4,.429
mccrapa01,Paul McCracken,28,12,16,.429,28,12,16,.429,0,0,0,
shumajo01,John Shumate,18,12,6,.667,18,12,6,.667,0,0,0,
dorseja01,Jacky Dorsey,17,6,11,.353,16,6,10,.375,1,0,1,.000
mclemmc01,McCoy McLemore,16,8,8,.500,16,8,8,.500,0,0,0,
jonesro01,Robin Jones,12,6,6,.500,12,6,6,.500,0,0,0,
johnsle01,Lee Johnson,10,6,4,.600,10,6,4,.600,0,0,0,
moffela01,Larry Moffett,9,6,3,.667,9,6,3,.667,0,0,0,
davisji01,Jim Davis,9,1,8,.111,9,1,8,.111,0,0,0,
bondph01,Phil Bond,7,4,3,.571,7,4,3,.571,0,0,0,
stroujo01,John Stroud,7,1,6,.143,7,1,6,.143,0,0,0,
barketo01,Tom Barker,5,4,1,.800,5,4,1,.800,0,0,0,
hicksph01,Phil Hicks,2,1,1,.500,2,1,1,.500,0,0,0,
mokespa01,Paul Mokeski,1,1,0,1.000,1,1,0,1.000,0,0,0,
