id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
overtdo01,Doug Overton,62,13,49,.210,62,13,49,.210,0,0,0,
cheanca01,Calbert Cheaney,60,12,48,.200,60,12,48,.200,0,0,0,
muresgh01,Gheorghe Mureșan,59,12,47,.203,59,12,47,.203,0,0,0,
butlemi02,Mitchell Butler,58,12,46,.207,58,12,46,.207,0,0,0,
howarju01,Juwan Howard,51,10,41,.196,51,10,41,.196,0,0,0,
skilesc01,Scott Skiles,49,11,38,.224,49,11,38,.224,0,0,0,
mcilvji01,Jim McIlvaine,43,8,35,.186,43,8,35,.186,0,0,0,
webbech01,Chris Webber,40,7,33,.175,40,7,33,.175,0,0,0,
chapmre01,Rex Chapman,30,8,22,.267,30,8,22,.267,0,0,0,
stewala01,Larry Stewart,30,5,25,.167,30,5,25,.167,0,0,0,
duckwke01,Kevin Duckworth,29,6,23,.207,29,6,23,.207,0,0,0,
macledo01,Don MacLean,22,7,15,.318,22,7,15,.318,0,0,0,
walkeke01,Kenny Walker,18,3,15,.167,18,3,15,.167,0,0,0,
guglito01,Tom Gugliotta,4,3,1,.750,4,3,1,.750,0,0,0,
olivebr01,Brian Oliver,4,2,2,.500,4,2,2,.500,0,0,0,
