id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
sabondo01,Domantas Sabonis*,276,144,132,.522,265,141,124,.532,11,3,8,.273
youngth01,Thaddeus Young,226,125,101,.553,211,122,89,.578,15,3,12,.200
mccontj01,T.J. McConnell*,191,95,96,.497,188,95,93,.505,3,0,3,.000
mcderdo01,Doug McDermott*,178,95,83,.534,171,95,76,.556,7,0,7,.000
holidaa01,Aaron Holiday*,153,84,69,.549,146,84,62,.575,7,0,7,.000
josepco01,Cory Joseph,150,85,65,.567,139,82,57,.590,11,3,8,.273
holidju01,Justin Holiday*,149,71,78,.477,145,71,74,.490,4,0,4,.000
bogdabo02,Bojan Bogdanović,148,84,64,.568,137,81,56,.591,11,3,8,.273
georgpa01,Paul George*,145,73,72,.503,134,70,64,.522,11,3,8,.273
ellismo01,Monta Ellis,143,73,70,.510,132,70,62,.530,11,3,8,.273
collida01,Darren Collison,132,74,58,.561,121,71,50,.587,11,3,8,.273
robingl02,Glenn Robinson III,131,68,63,.519,122,65,57,.533,9,3,6,.333
milescj01,C.J. Miles,130,64,66,.492,119,61,58,.513,11,3,8,.273
oladivi01,Victor Oladipo*,128,80,48,.625,117,77,40,.658,11,3,8,.273
allenla01,Lavoy Allen,126,64,62,.508,117,61,56,.521,9,3,6,.333
brogdma01,Malcolm Brogdon*,117,57,60,.487,113,57,56,.504,4,0,4,.000
bitadgo01,Goga Bitadze*,111,53,58,.477,111,53,58,.477,0,0,0,
leaftj01,T.J. Leaf,109,63,46,.578,107,62,45,.579,2,1,1,.500
youngjo01,Joe Young,107,56,51,.523,102,53,49,.520,5,3,2,.600
lambje01,Jeremy Lamb,98,47,51,.480,98,47,51,.480,0,0,0,
stephla01,Lance Stephenson,89,48,41,.539,78,45,33,.577,11,3,8,.273
sumneed01,Edmond Sumner*,88,41,47,.466,84,41,43,.488,4,0,4,.000
teaguje01,Jeff Teague,85,42,43,.494,81,42,39,.519,4,0,4,.000
jeffeal01,Al Jefferson,84,41,43,.488,84,41,43,.488,0,0,0,
stuckro01,Rodney Stuckey,84,42,42,.500,77,39,38,.506,7,3,4,.429
brissos01,Oshae Brissett*,83,32,51,.386,83,32,51,.386,0,0,0,
duartch01,Chris Duarte,69,31,38,.449,69,31,38,.449,0,0,0,
hillge01,George Hill,66,34,32,.515,59,31,28,.525,7,3,4,.429
warretj01,T.J. Warren,65,38,27,.585,61,38,23,.623,4,0,4,.000
brookaa01,Aaron Brooks,65,36,29,.554,64,36,28,.562,1,0,1,.000
evansty01,Tyreke Evans,65,36,29,.554,61,36,25,.590,4,0,4,.000
hieldbu01,Buddy Hield,62,29,33,.468,62,29,33,.468,0,0,0,
mathube01,Bennedict Mathurin,60,28,32,.467,60,28,32,.467,0,0,0,
hilljo01,Jordan Hill,57,31,26,.544,52,28,24,.538,5,3,2,.600
nembhan01,Andrew Nembhard,56,26,30,.464,56,26,30,.464,0,0,0,
nesmiaa01,Aaron Nesmith*,56,25,31,.446,56,25,31,.446,0,0,0,
mahinia01,Ian Mahinmi,56,31,25,.554,49,28,21,.571,7,3,4,.429
jacksis01,Isaiah Jackson,53,21,32,.396,53,21,32,.396,0,0,0,
hillso01,Solomon Hill,53,27,26,.509,46,24,22,.522,7,3,4,.429
serapke01,Kevin Séraphin,52,23,29,.442,48,23,25,.479,4,0,4,.000
smithja04,Jalen Smith,51,26,25,.510,51,26,25,.510,0,0,0,
halibty01,Tyrese Haliburton,48,26,22,.542,48,26,22,.542,0,0,0,
sampsja02,JaKarr Sampson*,45,22,23,.489,41,22,19,.537,4,0,4,.000
leverca01,Caris LeVert*,42,18,24,.429,42,18,24,.429,0,0,0,
martike03,Kelan Martin*,40,19,21,.475,40,19,21,.475,0,0,0,
oquinky01,Kyle O'Quinn,38,22,16,.579,37,22,15,.595,1,0,1,.000
craigto01,Torrey Craig,37,13,24,.351,37,13,24,.351,0,0,0,
chrisra01,Rakeem Christmas,29,15,14,.517,29,15,14,.517,0,0,0,
budinch01,Chase Budinger,27,11,16,.407,27,11,16,.407,0,0,0,
johnsal02,Alize Johnson,25,13,12,.520,24,13,11,.542,1,0,1,.000
matthwe02,Wesley Matthews*,25,6,19,.240,21,6,15,.286,4,0,4,.000
booketr01,Trevor Booker,23,13,10,.565,16,10,6,.625,7,3,4,.429
wanambr01,Brad Wanamaker,22,9,13,.409,22,9,13,.409,0,0,0,
niangge01,Georges Niang,22,11,11,.500,22,11,11,.500,0,0,0,
taylote01,Terry Taylor,21,7,14,.333,21,7,14,.333,0,0,0,
lawsoty01,Ty Lawson,20,12,8,.600,13,9,4,.692,7,3,4,.429
poythal01,Alex Poythress,14,5,9,.357,14,5,9,.357,0,0,0,
wilkida02,Damien Wilkins,13,7,6,.538,13,7,6,.538,0,0,0,
nworajo01,Jordan Nwora,13,7,6,.538,13,7,6,.538,0,0,0,
washidu02,Duane Washington Jr.,12,3,9,.250,12,3,9,.250,0,0,0,
stanlca01,Cassius Stanley*,11,7,4,.636,11,7,4,.636,0,0,0,
johnsja01,James Johnson,9,4,5,.444,9,4,5,.444,0,0,0,
sykeske01,Keifer Sykes,9,1,8,.111,9,1,8,.111,0,0,0,
reedda01,Davon Reed,8,3,5,.375,8,3,5,.375,0,0,0,
whittsh01,Shayne Whittington,7,4,3,.571,7,4,3,.571,0,0,0,
bowenbr02,Brian Bowen,7,4,3,.571,7,4,3,.571,0,0,0,
anigbik01,Ike Anigbogu,6,3,3,.500,6,3,3,.500,0,0,0,
theisda01,Daniel Theis,6,1,5,.167,6,1,5,.167,0,0,0,
brownke03,Kendall Brown,5,0,5,.000,5,0,5,.000,0,0,0,
queentr01,Trevelin Queen,5,1,4,.200,5,1,4,.200,0,0,0,
anderju01,Justin Anderson,3,0,3,.000,3,0,3,.000,0,0,0,
mitrona01,Naz Mitrou-Long,3,1,2,.333,3,1,2,.333,0,0,0,
hintona01,Nate Hinton,2,0,2,.000,2,0,2,.000,0,0,0,
lecquja01,Jalen Lecque,2,2,0,1.000,2,2,0,1.000,0,0,0,
moorebe01,Ben Moore,1,0,1,.000,1,0,1,.000,0,0,0,
jarrede01,DeJon Jarreau,1,0,1,.000,1,0,1,.000,0,0,0,
caverah01,Ahmad Caver,1,0,1,.000,1,0,1,.000,0,0,0,
mckintr01,Trey McKinney-Jones,1,1,0,1.000,1,1,0,1.000,0,0,0,
