id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
harrilu01,Lucious Harris,288,132,156,.458,265,121,144,.457,23,11,12,.478
kittlke01,Kerry Kittles,265,135,130,.509,242,124,118,.512,23,11,12,.478
gillke01,Kendall Gill,185,75,110,.405,182,75,107,.412,3,0,3,.000
marbust01,Stephon Marbury,151,65,86,.430,151,65,86,.430,0,0,0,
williaa01,Aaron Williams,150,78,72,.520,130,67,63,.515,20,11,9,.550
newmajo01,Johnny Newman,129,46,83,.357,129,46,83,.357,0,0,0,
martike01,Kenyon Martin,128,69,59,.539,108,58,50,.537,20,11,9,.550
maccuto01,Todd MacCulloch,122,74,48,.607,102,63,39,.618,20,11,9,.550
douglsh01,Sherman Douglas,116,48,68,.414,113,48,65,.425,3,0,3,.000
skinnbr01,Brian Skinner,106,57,49,.538,93,53,40,.570,13,4,9,.308
burresc01,Scott Burrell,104,37,67,.356,104,37,67,.356,0,0,0,
feickja01,Jamie Feick,103,42,61,.408,103,42,61,.408,0,0,0,
kiddja01,Jason Kidd,101,62,39,.614,81,51,30,.630,20,11,9,.550
jefferi01,Richard Jefferson,98,61,37,.622,78,50,28,.641,20,11,9,.550
nowitdi01,Dirk Nowitzki,96,65,31,.677,79,57,22,.722,17,8,9,.471
terryja01,Jason Terry,95,64,31,.674,79,56,23,.709,16,8,8,.500
collija04,Jason Collins,93,54,39,.581,76,46,30,.605,17,8,9,.471
mcilvji01,Jim McIlvaine,87,28,59,.322,87,28,59,.322,0,0,0,
howarjo01,Josh Howard,87,59,28,.678,70,51,19,.729,17,8,9,.471
harride01,Devin Harris,87,62,25,.713,70,54,16,.771,17,8,9,.471
iversal01,Allen Iverson,86,51,35,.593,74,45,29,.608,12,6,6,.500
snower01,Eric Snow,86,51,35,.593,74,45,29,.608,12,6,6,.500
mckieaa01,Aaron McKie,84,50,34,.595,72,44,28,.611,12,6,6,.500
daniema01,Marquis Daniels,82,53,29,.646,68,47,21,.691,14,6,8,.429
perryel01,Elliot Perry,81,32,49,.395,81,32,49,.395,0,0,0,
cagemi01,Michael Cage,79,39,40,.494,79,39,40,.494,0,0,0,
willija01,Jayson Williams,79,31,48,.392,76,31,45,.408,3,0,3,.000
buckngr01,Greg Buckner,77,47,30,.610,67,42,25,.627,10,5,5,.500
dampier01,Erick Dampier,77,52,25,.675,64,48,16,.750,13,4,9,.308
eschmev01,Evan Eschmeyer,74,28,46,.378,74,28,46,.378,0,0,0,
colemde01,Derrick Coleman,71,41,30,.577,59,35,24,.593,12,6,6,.500
diopde01,DeSagana Diop,66,45,21,.682,53,38,15,.717,13,7,6,.538
armstda01,Darrell Armstrong,66,43,23,.652,58,39,19,.672,8,4,4,.500
salmojo01,John Salmons,62,37,25,.597,56,34,22,.607,6,3,3,.500
masonde01,Desmond Mason,62,25,37,.403,57,24,33,.421,5,1,4,.200
cassesa01,Sam Cassell,62,27,35,.435,59,27,32,.458,3,0,3,.000
stackje01,Jerry Stackhouse,61,41,20,.672,45,33,12,.733,16,8,8,.500
gatlich01,Chris Gatling,60,23,37,.383,57,23,34,.404,3,0,3,.000
reddmi01,Michael Redd,60,25,35,.417,55,24,31,.436,5,1,4,.200
gadzuda01,Dan Gadzuric,58,24,34,.414,57,24,33,.421,1,0,1,.000
smithjo02,Joe Smith,56,22,34,.393,51,21,30,.412,5,1,4,.200
johnsan02,Anthony Johnson,53,32,21,.604,34,22,12,.647,19,10,9,.526
kukocto01,Toni Kukoč,50,24,26,.480,45,23,22,.511,5,1,4,.200
thomake01,Kenny Thomas,50,28,22,.560,38,22,16,.579,12,6,6,.500
griffad01,Adrian Griffin,50,36,14,.720,37,29,8,.784,13,7,6,.538
mutomdi01,Dikembe Mutombo,46,22,24,.478,46,22,24,.478,0,0,0,
thomaku01,Kurt Thomas,45,21,24,.467,45,21,24,.467,0,0,0,
andersh01,Shandon Anderson,45,21,24,.467,45,21,24,.467,0,0,0,
jacksst02,Stephen Jackson,44,15,29,.341,44,15,29,.341,0,0,0,
stricer01,Erick Strickland,43,19,24,.442,40,18,22,.450,3,1,2,.333
jonesda01,Damon Jones,41,14,27,.341,36,13,23,.361,5,1,4,.200
doleami01,Michael Doleac,40,20,20,.500,40,20,20,.500,0,0,0,
evansbr01,Brian Evans,39,13,26,.333,36,13,23,.361,3,0,3,.000
willifr02,Frank Williams,39,18,21,.462,39,18,21,.462,0,0,0,
houstal01,Allan Houston,36,17,19,.472,36,17,19,.472,0,0,0,
benoida01,David Benoit,36,21,15,.583,36,21,15,.583,0,0,0,
harriot01,Othella Harrington,35,18,17,.514,35,18,17,.514,0,0,0,
armstbr01,Brandon Armstrong,34,23,11,.676,34,23,11,.676,0,0,0,
scalabr01,Brian Scalabrine,34,22,12,.647,28,19,9,.679,6,3,3,.500
willima01,Mo Williams,33,14,19,.424,33,14,19,.424,0,0,0,
bradlsh01,Shawn Bradley,31,21,10,.677,28,20,8,.714,3,1,2,.333
wardch01,Charlie Ward,29,11,18,.379,29,11,18,.379,0,0,0,
muresgh01,Gheorghe Mureșan,29,7,22,.241,29,7,22,.241,0,0,0,
finlemi01,Michael Finley,29,21,8,.724,26,20,6,.769,3,1,2,.333
rentzef01,Efthimios Rentzias,29,20,9,.690,29,20,9,.690,0,0,0,
mbengdj01,D.J. Mbenga,28,19,9,.679,26,19,7,.731,2,0,2,.000
hillty01,Tyrone Hill,28,18,10,.643,18,12,6,.667,10,6,4,.600
jamesmi01,Mike James,28,11,17,.393,28,11,17,.393,0,0,0,
hendeal01,Alan Henderson,27,19,8,.704,26,19,7,.731,1,0,1,.000
marshdo02,Donny Marshall,27,15,12,.556,20,12,8,.600,7,3,4,.429
eisleho01,Howard Eisley,27,10,17,.370,27,10,17,.370,0,0,0,
pachuza01,Zaza Pachulia,27,12,15,.444,27,12,15,.444,0,0,0,
willimo01,Monty Williams,26,16,10,.615,16,11,5,.688,10,5,5,.500
dialde01,Derrick Dial,25,16,9,.640,25,16,9,.640,0,0,0,
knighbr01,Brevin Knight,22,7,15,.318,17,6,11,.353,5,1,4,.200
vaughda02,David Vaughn,21,11,10,.524,20,11,9,.550,1,0,1,.000
santida01,Daniel Santiago,20,8,12,.400,19,8,11,.421,1,0,1,.000
overtdo01,Doug Overton,20,4,16,.200,20,4,16,.200,0,0,0,
seikaro01,Rony Seikaly,20,5,15,.250,17,5,12,.294,3,0,3,.000
stepavl01,Vladimir Stepania,20,5,15,.250,20,5,15,.250,0,0,0,
carrch01,Chris Carr,20,11,9,.550,20,11,9,.550,0,0,0,
longar01,Art Long,19,12,7,.632,19,12,7,.632,0,0,0,
hendrma01,Mark Hendrickson,19,8,11,.421,19,8,11,.421,0,0,0,
mcdyean01,Antonio McDyess,18,7,11,.389,18,7,11,.389,0,0,0,
hardaan01,Anfernee Hardaway,18,11,7,.611,18,11,7,.611,0,0,0,
samakso01,Soumaila Samake,17,4,13,.235,17,4,13,.235,0,0,0,
poweljo01,Josh Powell,16,8,8,.500,13,7,6,.538,3,1,2,.333
norrimo01,Moochie Norris,16,9,7,.562,16,9,7,.562,0,0,0,
murdoer01,Eric Murdock,15,2,13,.133,15,2,13,.133,0,0,0,
satteke01,Kenny Satterfield,15,8,7,.533,15,8,7,.533,0,0,0,
fizerma01,Marcus Fizer,14,3,11,.214,14,3,11,.214,0,0,0,
edwarke01,Kevin Edwards,14,8,6,.571,14,8,6,.571,0,0,0,
bryanma01,Mark Bryant,11,6,5,.545,11,6,5,.545,0,0,0,
sweetmi01,Mike Sweetney,10,4,6,.400,10,4,6,.400,0,0,0,
weathcl01,Clarence Weatherspoon,9,2,7,.222,9,2,7,.222,0,0,0,
haleyja01,Jack Haley,9,3,6,.333,9,3,6,.333,0,0,0,
mcdanxa01,Xavier McDaniel,9,5,4,.556,9,5,4,.556,0,0,0,
stricma01,Mark Strickland,9,2,7,.222,9,2,7,.222,0,0,0,
haislma01,Marcus Haislip,8,4,4,.500,7,4,3,.571,1,0,1,.000
goodrst01,Steve Goodrich,8,6,2,.750,8,6,2,.750,0,0,0,
gilled01,Eddie Gill,8,1,7,.125,8,1,7,.125,0,0,0,
cunniwi01,William Cunningham,8,5,3,.625,8,5,3,.625,0,0,0,
marshra01,Rawle Marshall,7,3,4,.429,7,3,4,.429,0,0,0,
macledo01,Don MacLean,7,3,4,.429,7,3,4,.429,0,0,0,
hamilze01,Zendon Hamilton,6,3,3,.500,6,3,3,.500,0,0,0,
chrisdo01,Doug Christie,6,4,2,.667,6,4,2,.667,0,0,0,
podkopa01,Pavel Podkolzin,5,4,1,.800,5,4,1,.800,0,0,0,
boykiea01,Earl Boykins,5,2,3,.400,5,2,3,.400,0,0,0,
thomaja01,Jamel Thomas,5,0,5,.000,5,0,5,.000,0,0,0,
slatere01,Reggie Slater,4,1,3,.250,4,1,3,.250,0,0,0,
dareyi01,Yinka Dare,4,2,2,.500,4,2,2,.500,0,0,0,
fordtj01,T.J. Ford,3,1,2,.333,3,1,2,.333,0,0,0,
johnsde03,DerMarr Johnson,3,2,1,.667,3,2,1,.667,0,0,0,
trybace01,Cezary Trybański,1,0,1,.000,1,0,1,.000,0,0,0,
goldwan01,Anthony Goldwire,1,1,0,1.000,1,1,0,1.000,0,0,0,
sundobr01,Bruno Šundov,1,1,0,1.000,1,1,0,1.000,0,0,0,
