id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
lattida01,Dave Lattin,109,32,77,.294,104,31,73,.298,5,1,4,.200
leecl01,Clyde Lee,93,46,47,.495,81,41,40,.506,12,5,7,.417
hetzefr01,Fred Hetzel*,92,43,49,.467,80,38,42,.475,12,5,7,.417
mullije01,Jeff Mullins*,89,45,44,.506,77,40,37,.519,12,5,7,.417
larusru01,Rudy LaRusso,77,39,38,.506,67,35,32,.522,10,4,6,.400
attleal01,Al Attles,76,39,37,.513,64,34,30,.531,12,5,7,.417
ellisjo01,Joe Ellis,66,36,30,.545,56,32,24,.571,10,4,6,.400
johnsne02,Neil Johnson*,63,9,54,.143,63,9,54,.143,0,0,0,
goodrga01,Gail Goodrich,62,9,53,.145,62,9,53,.145,0,0,0,
snydedi01,Dick Snyder,62,9,53,.145,62,9,53,.145,0,0,0,
gregoga01,Gary Gregor,61,9,52,.148,61,9,52,.148,0,0,0,
mckenst01,Stan McKenzie,61,8,53,.131,61,8,53,.131,0,0,0,
kingji01,Jim King,61,31,30,.508,50,26,24,.520,11,5,6,.455
vanardi01,Dick Van Arsdale,61,8,53,.131,61,8,53,.131,0,0,0,
turnebi01,Bill Turner,51,24,27,.471,42,20,22,.476,9,4,5,.444
thurmna01,Nate Thurmond,50,31,19,.620,48,30,18,.625,2,1,1,.500
foxji01,Jim Fox*,46,8,38,.174,46,8,38,.174,0,0,0,
lewisbo01,Bobby Lewis*,42,20,22,.476,41,20,21,.488,1,0,1,.000
calvima01,Mack Calvin,29,16,13,.552,29,16,13,.552,0,0,0,
daviswa02,Warren Davis*,29,16,13,.552,29,16,13,.552,0,0,0,
stonege01,George Stone,28,15,13,.536,28,15,13,.536,0,0,0,
wisewi01,Willie Wise,27,15,12,.556,27,15,12,.556,0,0,0,
wilsoge01,George Wilson*,25,1,24,.040,25,1,24,.040,0,0,0,
mcgilbi01,Bill McGill,22,11,11,.500,22,11,11,.500,0,0,0,
warrebo01,Bob Warren,19,9,10,.474,19,9,10,.474,0,0,0,
hightwa01,Wayne Hightower*,18,10,8,.556,18,10,8,.556,0,0,0,
millela01,Larry Miller,18,10,8,.556,18,10,8,.556,0,0,0,
mclemmc01,McCoy McLemore,17,1,16,.059,17,1,16,.059,0,0,0,
jacksme01,Merv Jackson,15,9,6,.600,15,9,6,.600,0,0,0,
barryri01,Rick Barry,14,7,7,.500,12,6,6,.500,2,1,1,.500
neumapa01,Paul Neumann,13,6,7,.462,11,5,6,.455,2,1,1,.500
meschto01,Tom Meschery,12,6,6,.500,10,5,5,.500,2,1,1,.500
olsenbu01,Bud Olsen,12,7,5,.583,10,6,4,.600,2,1,1,.500
debusda01,Dave DeBusschere,10,0,10,.000,10,0,10,.000,0,0,0,
vanarto01,Tom Van Arsdale,10,0,10,.000,10,0,10,.000,0,0,0,
strawjo01,Joe Strawder*,10,0,10,.000,10,0,10,.000,0,0,0,
leege01,George Lee,10,4,6,.400,10,4,6,.400,0,0,0,
kojisdo01,Don Kojis*,10,0,10,.000,10,0,10,.000,0,0,0,
lehmage01,George Lehmann*,10,5,5,.500,10,5,5,.500,0,0,0,
workmto01,Tom Workman*,10,6,4,.600,10,6,4,.600,0,0,0,
scottra01,Ray Scott,10,0,10,.000,10,0,10,.000,0,0,0,
milesed01,Eddie Miles,10,0,10,.000,10,0,10,.000,0,0,0,
reedro01,Ron Reed*,9,0,9,.000,9,0,9,.000,0,0,0,
caldwjo01,Joe Caldwell,7,0,7,.000,7,0,7,.000,0,0,0,
buntibi01,Bill Buntin*,6,0,6,.000,6,0,6,.000,0,0,0,
thornro01,Rod Thorn*,6,0,6,.000,6,0,6,.000,0,0,0,
hillsi01,Simmie Hill,6,3,3,.500,6,3,3,.500,0,0,0,
tresvjo01,John Tresvant,4,0,4,.000,4,0,4,.000,0,0,0,
lovebo01,Bob Love,3,0,3,.000,3,0,3,.000,0,0,0,
rodgegu01,Guy Rodgers,3,0,3,.000,3,0,3,.000,0,0,0,
weissbo01,Bob Weiss,3,0,3,.000,3,0,3,.000,0,0,0,
mcglojo01,Jon McGlocklin,3,0,3,.000,3,0,3,.000,0,0,0,
embrywa01,Wayne Embry,3,0,3,.000,3,0,3,.000,0,0,0,
chapple01,Len Chappell*,3,0,3,.000,3,0,3,.000,0,0,0,
barnhjo01,John Barnhill*,3,0,3,.000,3,0,3,.000,0,0,0,
cunnidi01,Dick Cunningham*,3,0,3,.000,3,0,3,.000,0,0,0,
smithgr01,Greg Smith,2,0,2,.000,2,0,2,.000,0,0,0,
vaughch01,Chico Vaughn*,2,0,2,.000,2,0,2,.000,0,0,0,
paulkch01,Charlie Paulk*,2,0,2,.000,2,0,2,.000,0,0,0,
anderan01,Andy Anderson*,1,0,1,.000,1,0,1,.000,0,0,0,
gambeda01,Dave Gambee*,1,0,1,.000,1,0,1,.000,0,0,0,
biedeed01,Ed Biedenbach,1,0,1,.000,1,0,1,.000,0,0,0,
milleja01,Jay Miller*,1,0,1,.000,1,0,1,.000,0,0,0,
hairsal01,Al Hairston*,1,0,1,.000,1,0,1,.000,0,0,0,
