id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
reevekh01,Khalid Reeves,39,7,32,.179,39,7,32,.179,0,0,0,
greenac01,A.C. Green,39,7,32,.179,39,7,32,.179,0,0,0,
finlemi01,Michael Finley,39,7,32,.179,39,7,32,.179,0,0,0,
davishu01,Hubert Davis,39,7,32,.179,39,7,32,.179,0,0,0,
stricer01,Erick Strickland,33,6,27,.182,33,6,27,.182,0,0,0,
bradlsh01,Shawn Bradley,30,5,25,.167,30,5,25,.167,0,0,0,
muursma01,Martin Müürsepp,29,6,23,.207,29,6,23,.207,0,0,0,
anstech01,Chris Anstey,23,3,20,.130,23,3,20,.130,0,0,0,
rileyer01,Eric Riley,23,5,18,.217,23,5,18,.217,0,0,0,
scottde01,Dennis Scott,19,1,18,.053,19,1,18,.053,0,0,0,
walkesa01,Samaki Walker,15,1,14,.067,15,1,14,.067,0,0,0,
cebalce01,Cedric Ceballos,8,1,7,.125,8,1,7,.125,0,0,0,
ollieke01,Kevin Ollie,7,1,6,.143,7,1,6,.143,0,0,0,
packro01,Robert Pack,5,0,5,.000,5,0,5,.000,0,0,0,
respesh01,Shawn Respert,5,1,4,.200,5,1,4,.200,0,0,0,
thomaku01,Kurt Thomas,1,0,1,.000,1,0,1,.000,0,0,0,
