id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
cheekma01,Maurice Cheeks,90,50,40,.556,87,50,37,.575,3,0,3,.000
barklch01,Charles Barkley,83,45,38,.542,80,45,35,.562,3,0,3,.000
anderro01,Ron Anderson,75,41,34,.547,72,41,31,.569,3,0,3,.000
gminsmi01,Mike Gminski,75,41,34,.547,72,41,31,.569,3,0,3,.000
brooksc01,Scott Brooks,75,41,34,.547,72,41,31,.569,3,0,3,.000
hawkihe01,Hersey Hawkins,72,39,33,.542,69,39,30,.565,3,0,3,.000
hendege01,Gerald Henderson,61,33,28,.541,58,33,25,.569,3,0,3,.000
colembe01,Ben Coleman,52,28,24,.538,49,28,21,.571,3,0,3,.000
wingada01,David Wingate,50,28,22,.560,50,28,22,.560,0,0,0,
thornbo01,Bob Thornton,47,23,24,.489,47,23,24,.489,0,0,0,
smithde02,Derek Smith*,34,18,16,.529,31,18,13,.581,3,0,3,.000
jonessh01,Shelton Jones,34,19,15,.559,34,19,15,.559,0,0,0,
robincl01,Cliff Robinson,22,13,9,.591,22,13,9,.591,0,0,0,
mullich01,Chris Mullin,14,5,9,.357,14,5,9,.357,0,0,0,
higgiro01,Rod Higgins,14,5,9,.357,14,5,9,.357,0,0,0,
hardati01,Tim Hardaway,14,5,9,.357,14,5,9,.357,0,0,0,
teaglte01,Terry Teagle,14,5,9,.357,14,5,9,.357,0,0,0,
bolma01,Manute Bol,13,5,8,.385,13,5,8,.385,0,0,0,
maxweve01,Vernon Maxwell,13,8,5,.615,13,8,5,.615,0,0,0,
cummite01,Terry Cummings,13,8,5,.615,13,8,5,.615,0,0,0,
robinda01,David Robinson,13,8,5,.615,13,8,5,.615,0,0,0,
anderwi01,Willie Anderson,13,8,5,.615,13,8,5,.615,0,0,0,
elliose01,Sean Elliott,13,8,5,.615,13,8,5,.615,0,0,0,
peterji01,Jim Petersen,13,4,9,.308,13,4,9,.308,0,0,0,
paspaza01,Žarko Paspalj,12,8,4,.667,12,8,4,.667,0,0,0,
brickfr01,Frank Brickowski,12,7,5,.583,12,7,5,.583,0,0,0,
richmmi01,Mitch Richmond,12,4,8,.333,12,4,8,.333,0,0,0,
upshake01,Kelvin Upshaw,12,5,7,.417,12,5,7,.417,0,0,0,
jonesca01,Caldwell Jones*,11,7,4,.636,11,7,4,.636,0,0,0,
tolbeto01,Tom Tolbert,10,3,7,.300,10,3,7,.300,0,0,0,
smrekmi01,Mike Smrek,10,4,6,.400,10,4,6,.400,0,0,0,
vraneda01,Danny Vranes,10,5,5,.500,10,5,5,.500,0,0,0,
marcisa01,Šarūnas Marčiulionis,10,4,6,.400,10,4,6,.400,0,0,0,
moorejo01,Johnny Moore,10,7,3,.700,10,7,3,.700,0,0,0,
askewvi01,Vincent Askew,8,5,3,.625,8,5,3,.625,0,0,0,
hinsoro01,Roy Hinson,8,3,5,.375,8,3,5,.375,0,0,0,
coltest01,Steve Colter,8,3,5,.375,8,3,5,.375,0,0,0,
mccorti01,Tim McCormick,8,3,5,.375,8,3,5,.375,0,0,0,
mcnamma01,Mark McNamara,6,3,3,.500,6,3,3,.500,0,0,0,
myerspe01,Pete Myers,4,2,2,.500,4,2,2,.500,0,0,0,
kingal01,Albert King,4,2,2,.500,4,2,2,.500,0,0,0,
toneyan01,Andrew Toney,3,1,2,.333,3,1,2,.333,0,0,0,
rowinji01,Jim Rowinski,3,2,1,.667,3,2,1,.667,0,0,0,
leboje01,Jeff Lebo,2,1,1,.500,2,1,1,.500,0,0,0,
