id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
ellinwa01,Wayne Ellington,41,28,13,.683,41,28,13,.683,0,0,0,
dragigo01,Goran Dragić*,40,28,12,.700,40,28,12,.700,0,0,0,
johnsja01,James Johnson,39,26,13,.667,39,26,13,.667,0,0,0,
whiteha01,Hassan Whiteside*,38,27,11,.711,38,27,11,.711,0,0,0,
mcgruro01,Rodney McGruder,35,26,9,.743,35,26,9,.743,0,0,0,
johnsty01,Tyler Johnson,35,22,13,.629,35,22,13,.629,0,0,0,
reedwi02,Willie Reed,33,25,8,.758,33,25,8,.758,0,0,0,
babbilu01,Luke Babbitt,30,22,8,.733,30,22,8,.733,0,0,0,
richajo01,Josh Richardson*,27,16,11,.593,27,16,11,.593,0,0,0,
waitedi01,Dion Waiters,25,18,7,.720,25,18,7,.720,0,0,0,
adebaba01,Bam Adebayo*,6,2,4,.333,6,2,4,.333,0,0,0,
olynyke01,Kelly Olynyk,6,2,4,.333,6,2,4,.333,0,0,0,
winslju01,Justise Winslow,6,2,4,.333,6,2,4,.333,0,0,0,
satorto01,Tomáš Satoranský,3,2,1,.667,3,2,1,.667,0,0,0,
hasleud01,Udonis Haslem,3,3,0,1.000,3,3,0,1.000,0,0,0,
morrima02,Markieff Morris,3,2,1,.667,3,2,1,.667,0,0,0,
bealbr01,Bradley Beal*,3,2,1,.667,3,2,1,.667,0,0,0,
bryanth01,Thomas Bryant,3,2,1,.667,3,2,1,.667,0,0,0,
greenje02,Jeff Green,2,1,1,.500,2,1,1,.500,0,0,0,
riverau01,Austin Rivers*,2,1,1,.500,2,1,1,.500,0,0,0,
willide02,Derrick Williams,2,2,0,1.000,2,2,0,1.000,0,0,0,
browntr01,Troy Brown Jr.*,2,2,0,1.000,2,2,0,1.000,0,0,0,
porteot01,Otto Porter Jr.,2,1,1,.500,2,1,1,.500,0,0,0,
walljo01,John Wall,2,1,1,.500,2,1,1,.500,0,0,0,
oubreke01,Kelly Oubre Jr.*,2,1,1,.500,2,1,1,.500,0,0,0,
mcraejo01,Jordan McRae,1,1,0,1.000,1,1,0,1.000,0,0,0,
dekkesa01,Sam Dekker,1,1,0,1.000,1,1,0,1.000,0,0,0,
waltode01,Derrick Walton,1,0,1,.000,1,0,1,.000,0,0,0,
smithja02,Jason Smith,1,1,0,1.000,1,1,0,1.000,0,0,0,
