id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
mckeyde01,Derrick McKey,245,150,95,.612,207,128,79,.618,38,22,16,.579
millere01,Reggie Miller,241,150,91,.622,207,130,77,.628,34,20,14,.588
davisan01,Antonio Davis,231,139,92,.602,193,117,76,.606,38,22,16,.579
davisda01,Dale Davis,225,139,86,.618,187,117,70,.626,38,22,16,.579
smitsri01,Rik Smits,224,138,86,.616,186,116,70,.624,38,22,16,.579
jacksma01,Mark Jackson,167,104,63,.623,145,92,53,.634,22,12,10,.545
scottby01,Byron Scott,165,101,64,.612,132,81,51,.614,33,20,13,.606
mitchsa01,Sam Mitchell,159,95,64,.597,127,76,51,.598,32,19,13,.594
ferredu01,Duane Ferrell,115,71,44,.617,100,64,36,.640,15,7,8,.467
flemive01,Vern Fleming,99,60,39,.606,80,47,33,.588,19,13,6,.684
piercri01,Ricky Pierce,76,48,28,.632,71,46,25,.648,5,2,3,.400
walkeda01,Darrell Walker,71,28,43,.394,71,28,43,.394,0,0,0,
willike03,Kenny Williams,71,45,26,.634,59,38,21,.644,12,7,5,.583
grantha01,Harvey Grant,68,27,41,.397,68,27,41,.397,0,0,0,
ellispe01,Pervis Ellison,67,26,41,.388,67,26,41,.388,0,0,0,
hammoto01,Tom Hammonds,66,25,41,.379,66,25,41,.379,0,0,0,
besttr01,Travis Best,63,37,26,.587,58,35,23,.603,5,2,3,.400
thompla01,LaSalle Thompson,62,38,24,.613,55,34,21,.618,7,4,3,.571
engliaj01,A.J. English,61,22,39,.361,61,22,39,.361,0,0,0,
johnsed03,Eddie Johnson,60,38,22,.633,59,38,21,.644,1,0,1,.000
eacklle01,Ledell Eackles,59,24,35,.407,59,24,35,.407,0,0,0,
willijo02,John Williams,57,25,32,.439,57,25,32,.439,0,0,0,
kingbe01,Bernard King,55,23,32,.418,55,23,32,.418,0,0,0,
allenra02,Ray Allen,55,28,27,.509,52,28,24,.538,3,0,3,.000
johnser02,Ervin Johnson,54,27,27,.500,51,27,24,.529,3,0,3,.000
thomati01,Tim Thomas,54,28,26,.519,51,28,23,.549,3,0,3,.000
jonesch01,Charles Jones,54,21,33,.389,54,21,33,.389,0,0,0,
fostegr01,Greg Foster,52,18,34,.346,52,18,34,.346,0,0,0,
robingl01,Glenn Robinson,52,26,26,.500,49,26,23,.531,3,0,3,.000
delnevi01,Vinny Del Negro,50,27,23,.540,50,27,23,.540,0,0,0,
traylro01,Robert Traylor,48,25,23,.521,45,25,20,.556,3,0,3,.000
caldwad01,Adrian Caldwell,48,29,19,.604,47,29,18,.617,1,0,1,.000
alarima01,Mark Alarie,37,15,22,.405,37,15,22,.405,0,0,0,
curryde01,Dell Curry,36,15,21,.417,33,15,18,.455,3,0,3,.000
currymi01,Michael Curry,32,16,16,.500,29,16,13,.552,3,0,3,.000
gatlich01,Chris Gatling,30,15,15,.500,28,15,13,.536,2,0,2,.000
schindw01,Dwayne Schintzius,30,20,10,.667,30,20,10,.667,0,0,0,
cassesa01,Sam Cassell,29,14,15,.483,26,14,12,.538,3,0,3,.000
sealyma01,Malik Sealy,29,18,11,.621,29,18,11,.621,0,0,0,
irvinby01,Byron Irvin,24,8,16,.333,24,8,16,.333,0,0,0,
mannida01,Danny Manning,23,12,11,.522,23,12,11,.522,0,0,0,
willisc01,Scott Williams,21,11,10,.524,21,11,10,.524,0,0,0,
richapo01,Pooh Richardson,20,14,6,.700,20,14,6,.700,0,0,0,
willike02,Kevin Willis,17,5,12,.294,17,5,12,.294,0,0,0,
haskisc01,Scott Haskin,17,9,8,.529,17,9,8,.529,0,0,0,
reidjr01,J.R. Reid,17,9,8,.529,17,9,8,.529,0,0,0,
connele01,Lester Conner,17,15,2,.882,11,9,2,.818,6,6,0,1.000
gilliar01,Armen Gilliam,16,5,11,.312,13,5,8,.385,3,0,3,.000
hoibefr01,Fred Hoiberg,16,12,4,.750,16,12,4,.750,0,0,0,
kitegr01,Greg Kite,15,8,7,.533,7,5,2,.714,8,3,5,.375
mcgratr01,Tracy McGrady,13,4,9,.308,13,4,9,.308,0,0,0,
chrisdo01,Doug Christie,13,4,9,.308,13,4,9,.308,0,0,0,
cartevi01,Vince Carter,13,4,9,.308,13,4,9,.308,0,0,0,
oaklech01,Charles Oakley,12,4,8,.333,12,4,8,.333,0,0,0,
robinla01,Larry Robinson,12,2,10,.167,12,2,10,.167,0,0,0,
boguemu01,Muggsy Bogues,11,4,7,.364,11,4,7,.364,0,0,0,
thomajo02,John Thomas,10,4,6,.400,10,4,6,.400,0,0,0,
ellisda01,Dale Ellis,9,4,5,.444,9,4,5,.444,0,0,0,
willial02,Alvin Williams,8,2,6,.250,8,2,6,.250,0,0,0,
stewami01,Michael Stewart,7,2,5,.286,7,2,5,.286,0,0,0,
levincl01,Cliff Levingston,6,1,5,.167,6,1,5,.167,0,0,0,
wilkido01,Dominique Wilkins,6,1,5,.167,6,1,5,.167,0,0,0,
webbsp01,Spud Webb,6,1,5,.167,6,1,5,.167,0,0,0,
toneyse01,Sedric Toney,6,1,5,.167,6,1,5,.167,0,0,0,
longjo01,John Long,6,1,5,.167,6,1,5,.167,0,0,0,
volkoal01,Alexander Volkov,6,1,5,.167,6,1,5,.167,0,0,0,
malonmo01,Moses Malone,6,1,5,.167,6,1,5,.167,0,0,0,
carran01,Antoine Carr,5,1,4,.200,5,1,4,.200,0,0,0,
allenje01,Jerome Allen,4,1,3,.250,4,1,3,.250,0,0,0,
marblro01,Roy Marble,4,1,3,.250,4,1,3,.250,0,0,0,
roseja01,Jalen Rose,4,1,3,.250,4,1,3,.250,0,0,0,
brownde01,Dee Brown,4,0,4,.000,4,0,4,.000,0,0,0,
hamda01,Darvin Ham,3,0,3,.000,3,0,3,.000,0,0,0,
koncajo01,Jon Koncak,3,1,2,.333,3,1,2,.333,0,0,0,
willire01,Reggie Williams,2,0,2,.000,2,0,2,.000,0,0,0,
radojal01,Aleksandar RadojeviÄ‡,2,0,2,.000,2,0,2,.000,0,0,0,
askewvi01,Vincent Askew,2,1,1,.500,2,1,1,.500,0,0,0,
grantpa01,Paul Grant,2,1,1,.500,2,1,1,.500,0,0,0,
dampier01,Erick Dampier,2,1,1,.500,2,1,1,.500,0,0,0,
scottbr01,Brent Scott,2,0,2,.000,2,0,2,.000,0,0,0,
battljo01,John Battle,1,0,1,.000,1,0,1,.000,0,0,0,
stricma01,Mark Strickland,1,0,1,.000,1,0,1,.000,0,0,0,
