id,player,total_games,total_wins,total_losses,total_win_percentage,regular_season_games,regular_season_wins,regular_season_losses,regular_season_win_percentage,playoffs_games,playoffs_wins,playoffs_losses,playoffs_win_percentage
gordoaa01,Aaron Gordon,19,8,11,.421,19,8,11,.421,0,0,0,
augusdj01,D.J. Augustin,19,8,11,.421,19,8,11,.421,0,0,0,
paytoel01,Elfrid Payton,19,8,11,.421,19,8,11,.421,0,0,0,
biyombi01,Bismack Biyombo*,19,8,11,.421,19,8,11,.421,0,0,0,
hezonma01,Mario Hezonja*,19,8,11,.421,19,8,11,.421,0,0,0,
greenje02,Jeff Green,15,5,10,.333,15,5,10,.333,0,0,0,
fournev01,Evan Fournier*,15,5,10,.333,15,5,10,.333,0,0,0,
vucevni01,Nikola Vučević*,14,6,8,.429,14,6,8,.429,0,0,0,
rudezda01,Damjan Rudež,14,5,9,.357,14,5,9,.357,0,0,0,
watsocj01,C.J. Watson,14,4,10,.286,14,4,10,.286,0,0,0,
wilcocj01,C.J. Wilcox,11,4,7,.364,11,4,7,.364,0,0,0,
rosste01,Terrence Ross,10,5,5,.500,10,5,5,.500,0,0,0,
meeksjo01,Jodie Meeks,9,6,3,.667,9,6,3,.667,0,0,0,
ibakase01,Serge Ibaka,8,3,5,.375,8,3,5,.375,0,0,0,
georgma01,Marcus Georges-Hunt,2,2,0,1.000,2,2,0,1.000,0,0,0,
garinpa01,Patricio Garino,2,2,0,1.000,2,2,0,1.000,0,0,0,
onuakar01,Arinze Onuaku,1,1,0,1.000,1,1,0,1.000,0,0,0,
